annotation_id,review_id,cleaned_review_text,rating,human_label,notes
25,ecc58560b2658713d4db8ff853dc31cb2edb4b3cfea29c21494668cd72438a74,"the earbuds are fare in quality, and was a bit disappointed with the packaging. They arrived in in a leather pouch no instructions or any warrenty information. However for 40 bucks what should you expect.",3.0,SHIPPING,
26,291458dc5effaf6ec9d126d8767d8bef8c93150e0c94f720938f08c10f2a745d,con- you have to slide out 1 headphne at a time - noise cancellation is a lie Pros- fast charge time - does not hurt the ears - can charge with razer 2 cord - easy connect to bluetooth - just put in charger when you no longer need bluetooth to disconnect it * bonus- bluetooth sees it as airbuds u for those who care,5.0,FUNCTIONALITY,
27,d6ee85b756fe5282440f54e22cabb0d5edbda0bcf6e37445d30676d712972c88,"Great product, very comfortable to use with good sound quality and mic",5.0,NO_COMPLAINT,
28,d21d3f58340734ed5d3311ee4d6288cc302657d4851285bdfe7864c26dfd9354,Love them,5.0,NO_COMPLAINT,
29,4f9f2ae0c7bb91dedd52a0c47d2b96fb858e0eb15f1850644f2888bc8e11abd9,Just Sweeeettt!,5.0,NO_COMPLAINT,
30,d74eefc2279a07e98aad28a7a96899ba54e556ff7760286d081f49435354e591,A clip is missing for fixing the extra long phone cord for running,3.0,SHIPPING,
31,5759882d8650cf9283e30d6333eb4f433c6e80bd63db05ab4bea14739c946824,"Cable arrived broken, too much of a hassle to return for the price.",1.0,SHIPPING,
32,fae585af907a8b4faadff33d9a65c40fd761afae209f3d9fd956d647c4ede860,"The sound is good, but the earpiece literally fell apart only after three months. The company stands behind their product and offers a one year warranty, so they replaced the item at no extra cost! As long as this one lasts, I would highly recommend it.",5.0,BUILD_QUALITY,
33,06af396c9bc35af6dbd4a769d0509d042d738bffd9fff54515d9959048f2401d,It did seem too good to be true in the first place - 4+ rating for $21 bluetooth buds (€20 at Amazon.de)? But I decided to give it a try. And so in 1 month and 1 week of very delicate use (not for a single workout) they just fell apart. You get what you pay for ).,1.0,BUILD_QUALITY,
34,a80bdc3278b02c9b3e2ea054ee7efc80a154ded4f1de72c1fe764157f2ffc432,"I was extremely disappointed when these fell apart a year after buying them. I have owned an over the ear product of theirs since 2011 and was a fan. These worked well, but within 6 months the gray mesh on the back of each had fallen off and last week the casing fell off the right earbud exposing the wire which frayed and now doesn't work. These pieces are simply glued together and normal stress caused them to come apart. For this price point, I was hoping to have these for a while. My search for quality earbuds that last continues.",2.0,BUILD_QUALITY,
35,1540666953f8e73cddffd77c827e994182dbc2599663bdf090fc612afb60b779,"Arrived broken. One of the two earbuds never worked, straight out of the box.",1.0,SHIPPING,
36,6dbd28a9f073507388c162e34fad831413a9217721df6eb5ed481d490a91fce2,"I'd have to say I look at the avg or 3 star reviews and that gave me confidence to make this purchase and I'm very happy with them. The volume was spectacular, although I havent tested from other rooms, but for where i plan on using it, it works perfectly. Setup was easy just put the TV on mute and you're gd to go. Very comfortable as well and earphone covered my ears perfectly to give me the perfect base. For the cost and ease of use, I'd say buy them. They also have a youtube video to answer all the issues raised via the review section here, so it shows they care as a company, about their product and you as a customer.",4.0,NO_COMPLAINT,
37,5dd6918a06b53ca038e9a0f392f86eaf70220153ff867536348cfb4db1576713,UPDATE: After I posted my review the company contacted me and offered a replacement. I then dropped the ball but once I finally got around to contacting them back they replaced the faulty earbuds in a jiffy. So far the new ones are working fine. GREAT customer service. Delivered July 19...only used 2-3 times per week for an hour at a time....stopped working Sept 4. Middle button no longer responds to the touch.,4.0,FUNCTIONALITY,
38,4ad6516160a6cd24bf9d690353a439418649f9a714ca87cf6e964ccc7d336f85,"Very nice headphones (good sound, lightweight, comfortable fit) at a bargain price.",5.0,NO_COMPLAINT,
39,3f5e069cd791da7c7fd2c323600e594ac02d2ca738d0e344c87fb46f11d166bf,"My first pair arrived broken. But, Amazon promtly replaced them within a day. The deep bass sound quality is superb. If you want ""coolness"" spend a few hundred bucks on dre beats headphones. If you want ""value"" buy these headphones.",5.0,SHIPPING,
40,fe0b7c89797ae75f376f7e59a4280c23e12c4803b63981ea80079098eeeabcf8,"Prefect for little ears. My daughter wants me to wear them but they are just too small to reach both ears at the same time. But they are soft on the ears (and I have 3 earrings in each ear, these don't mash my earrings into my head) . Down side: the cord is VERY long. Little feet can trip on it easily.",5.0,FIT_COMPATIBILITY,
41,346736f8b9aec40548b0e068144c83ceb3e03c4a02ff5a0ecd187a98feb97c39,"My kids love these earbuds. Said they work great for watching videos on their ipads. One kid said they are their favorite, the other said the earpieces don't fit the best. But likes them still.",4.0,FIT_COMPATIBILITY,
42,4d6ea426de32b17abbaa421bb7a8bddb060f7a16312d2a36e30deb41648c0b2b,I've tried a lot of these bluetooth earbuds. I figured they were all more or less the same. Wrong. These are by far the worst I have ever used. Nobody can hear me when I'm on the phone. Connectivity is problematic when the phone is a few feet away. They are materially really cheap and flimsy feeling. I'm literally throwing these in the garbage.,1.0,FUNCTIONALITY,
43,252ac38f543e2fb5cddfd6aa671294ff59ff6d86bca7a6da946a44d74a5e9ede,The tangle-free cord seems nice but the product is poorly assembled. The ones I got arrived broken inside the package. One of the earbud caps wasn't sealed and the guts were hanging out. I'm returning them and won't buy them again.,1.0,SHIPPING,
44,065e4481ee6e359d99b872e281e61b876ce036b5377b13d7f4cfd67409068906,Seemed like it could have been a good upgrade for the kz as10s cause the part that goes around your ears is adjustable but unfortunately the headphones Jack was too small. This was recommended to buy along with the as10s so it really sucked to find out I can't use them.,1.0,FIT_COMPATIBILITY,
45,3f269d0163ac35951c517bf5d60ec4a4409457dad0a426ed51e493191d276203,"These headphones sound as good as the reviews say -- they are fabulous. But, they started to break down after a year of use. The plastic on the headband broke, and the ear pads fell apart. I contacted the company, and they said they'd replace the ear pads for $30. I had a pair of Sennheisers for 20 years, but the Audio-Technica lasted a little over a year. Again, the ATH-ANC7 headphones sound great, but I will never buy Audio-Technica again.",2.0,BUILD_QUALITY,
46,76de4f347048d9df1c75db05cc7c97d61669e0f2962c47f0ae7809ef21b33f44,"The Good: Sound and value. Best sound per dollar in my honest opinion. If your looking at this product, then you already know the pros/cons of an open back setup. For my home office, these were the easiest choice to make. The Bad: Ergonomics and quality. The headphones are quite unreliable. After about 3 weeks, there was a gentle rattle at certain sound frequencies. I play a lot of racing games, and with certain vehicles, I could rev at a certain RPM and reproduce this rattle consistently. Now after 4 months, the volume in the left earphone has all but vanished, and sound primarily comes out of the right ear when I set my soundcard to headphones mode. On speaker mode, it works just fine, for now. The headphones are very small. A certain popular audiophile youtuber simply suggests to bend the metal headband. Yes, this does help, but the headband is only a certain length. For those with big and or oddly shaped heads, in my case both, these tend to fly off and don't fit quite right. Furthermore, a human cannot bend the headband symmetrically without tools, so bending it often creates a tradeoff in certain areas of comfort.",4.0,FIT_COMPATIBILITY,
47,4ded75790ba27ad6ef525c450d7c54ca6ad3513f25ed31d819285cc2c953d9f0,"I have always gravitated towards these headphones ever since I was accidentally sent the wrong kinds in an order. They fit well in my ears and do a really good job at muffling noises around me. However, these headphones has some faults with it. For one, two of the sets I have right now has a problem with one side of the earbud not working properly. While one earbud is loud and clear the other is quieter and it's really annoying to listen to. The mic control button also has glitches with functionality and picking up sound. I noticed that while using it for a snapchat video, my video had a glitchy noise in the background which it didn't have without the headphones. The button also does not work properly on one of my other two sets. Overall, I like the quality of sound and for the price I think it's worth it.",3.0,FUNCTIONALITY,
48,905bd0a7d1e1954dc4986a5c3bd1e019a6993c2bc1481272f1e792f7cfbd539b,they don't fit that well and the sound is not as clear,3.0,FIT_COMPATIBILITY,
49,128ad68d02ee1780cda5242741bce74c54b46eb388fc920208ebf60088a3c299,"Do not buy this product . I recommend this to my close friend , and I regret it . I just wasted $50 . Voice very choppy , arrived broken in packaging , I had to superglue it together to even use it . Do not recommend buying this product",1.0,SHIPPING,
50,c16e0e89ebc3e5ec5f90f9b2ff6ce630b427f024ddec24cfc9627bf1724bd11e,clip broke pretty quick but the device works great with my iphone. head phones are ok but could be better.,4.0,BUILD_QUALITY,
51,f3ea36da1e743b51cbb3cc3753364cf2c121754f825adffb93c231f692a7cdf8,"Great sound,but keeps falling out of my ears ( golf)",3.0,FIT_COMPATIBILITY,
52,437e37922de9bca87cadd6bef20ea912825e13f47be2a8b4d10c12900582b9cb,Save your money. Shop elsewhere. There are much better over the ear buds for the price. Mine arrived broken and I found it impossible to adjust the buds so that they would fit properly in my ear. Immediately returned for a refund.,1.0,SHIPPING,
53,2f90c1be3f5d6f6ef58e236c98e897bd667adbcf178d5ccd5492004968e4f625,"So, I purchased these after realizing that my Beats were too small for my ears. After giving my Beats to my teenage daughter, I realized I still needed some headphones! Once I researched, I realized that what I actually needed were &#34;over the ear&#34; headphones. To my delight, these headphones fit the bill perfectly! For an economical price the sound quality is superb. I am a musician myself, and sound quality in a pair of headphones is important to me. The bass on these kicks! I am hearing little details in my favorite songs I was not able to hear before. One performance I love is the Bruno Mars performance on the American Music Awards a few months ago. Just listening through my computer the sound was ok. Listen through these headphones I can almost pick apart the bass line! Its SO rich and makes for a much better listening experience. Honestly, I enjoy these because of the comfort, but the sound quality is excellent. You wont be disappointed in ordering these!",5.0,NO_COMPLAINT,
54,8919d3b75988cf2df4e40377be38db0f31f45ab23fe71e7d2789e827e60924d3,Sound drops out while listening to music or watching TV. Had to spend a lot of time trying different combinations of ear buds and retainers. I have to re-sync the blue tooth every time I turn off my laptop. Nearly impossible to get the plug for the power port out without using a knife or other sharp object. No instructions or recommendations on how to achieve a good fit so a lot of trial and error. Good price but I wouldn't recommend them.,2.0,USABILITY_SETUP,
55,c8109a486b9dcbc6436c0c1d3b8bcee307b9196971e4f926cc4d882fe29dbd38,best earbuds hands down for the pricepoint.,5.0,NO_COMPLAINT,
56,916cf2564039e3c83d86886a64153dc1a2dbfd77d8fcfc8912728be538b60bd4,These are amazing!!! Sounds so full!! Practicing on my bass.sounding perfecto!!! No frequencies are left out. The top end and bottom are definitely balanced. I will buy them for my musician friends,5.0,NO_COMPLAINT,
57,a2bb8758faecf62ca4d5903fd1fec82d4a4d6f55ff1bd825482b72323be8060b,Cute and worked really well It is in some chinese language and came with no instructions Battery lasted for a couple days for me too,4.0,USABILITY_SETUP,
58,5b8e418050c31eca97ce8c43e83f0f18128a8fff71618b91527ac0380b817657,"I've had these for just under a year, took very good care of them (Only used them at night to meditate) and recently they stopped working. All I can hear is a static sound when I use them. Really disappointed as I was loving them. :(",2.0,FUNCTIONALITY,
59,40f116108f22019da494aa27735d546612cee9e4e6a69646b8d8280ae7f2e45e,"These are way too small for any normal adult human's ears to be covered by the muffs, and the quality/feel of them is the 50-cent Happy Meal toy kind. Cheap, worthless Made in China garbage, like seemingly everything else Amazon sells nowadays.",1.0,FIT_COMPATIBILITY,
60,9d84bba27f66ae7e171ebbf80289461d3d69d2834a2997101752a7d1424e4243,As Expected,5.0,NO_COMPLAINT,
61,57141e8ccaf8439d292b13a81ba8ed61231bf68f47f814ecd4327b2170ff6ae7,Too small physically. Too small battery. Old ones were better.,2.0,FIT_COMPATIBILITY,
62,60cc5173a9a10bbfde4cae964d86db53b5abf61606b7a234d6f6f8b308d1e96f,"My wife bought these headphones for me back in December, the day they went on sale on bestbuy.com, as a Christmas gift. After 4 months the sound began to cut in and out and eventually the headphones died completely. I contacted Jaybird and was directed to try two different factory resets, neither of which worked. I was instructed to send the headphones back and I would receive a new pair. I decided to try my luck at Best Buy to see if they would exchange the headphones for a new pair. To my surprise they were willing to, even though it was outside the 15 day window. Thinking this was an isolated issue I decided not to purchase the 2 year protection plan they offered when I exchanged them. Silly me, 5 months later I'm now having the same issues, Jaybird is still offering the same two solutions that don't work, and I'm without working headphones, again. I have not attempted to exchange them again at Best Buy, but my guess would be that they would say no. Even if Jaybird does send me a new pair, as I'm within the 1 year manufactures warranty, I don't have much hope that they will last any longer than the previous two pairs. But when the third pair dies I will move on to something more reliable. I'm truly disappointed with these headphones.",1.0,FUNCTIONALITY,
63,c48fe7970bae65fe16234b7347aabc85c868384b6c16cef706420991fd37b42d,"I received counterfeit headphones that stopped working almost immediately. Bose wouldn't even consider replacing them because they claim to have never produced anything like what I received. When I tried to verify this, the seller was no longer on Amazon. 60 dollars that could have been spent at a licensed Bose dealer.",1.0,OTHER,
64,1cd40a020cc088a32624705d4eeb1fdb6e5867c27ab6a4d75bf51087b45538e6,"I'll admit it. I am an audio nerd. I worked professionally as an Audio/Video Engineer for a number of years, and had the opportunity to use some very refined equipment in the process. I don't believe my hearing is more sensitive than anyone else's (It might be worse truth be told), but I can get picky when it comes to audio of any sort. Every system I use has to be calibrated just right. That pickiness has carried over to headphones, and as a vmoda user for 5 years running, I have always been impressed by how their sound compares to much more expensive options. The quality of the sound is great, whether you are a newbie to headphones, or someone who cares quite a bit. They have powerful lows, wide mids, and super clear highs. Instead of the bass heavy headphones that are currently the trend, these actually let you hear the rest of the song, and in just as sharp detail. And the sound just gets better as you wear them in. Having had a pair of V-80s previously, and using their immortal life program, I upgraded to these XS ON-Ears. While the sound is very similar, there are definitely some improvements, especially in the highs and to a lesser extent, the mids. They are even less muddled than before, and the range is much wider. For the price, there isn't really anything else out there that blows these away in the sound department. Moving on, the build on these things is topnotch. They look, feel, and weigh premium, and the materials they use just accentuate that fact. The customizable ear plates are an awesome touch if you like to have a unique look, and there is a vast range of customization, at widely ranging price points. Having had a pair of V-80s for years, I can tell you that these things are durable. I have hiked, camped, gone biking, running, and rock climbing with them on and they survived some falls with no problems. The XS are no different in toughness or quality. And if anything were to happen regarding a malfunction,or breaking when it shouldn't(as outlined in their warranty) they are great with getting you taken care of and back to the music. Did I mention that they sit very close to your head and are super low profile for when it comes to having a hood on? For storage, they fold down super small, almost too small at first. I would recommend these to anyone asking me for a nice pair of on-ear headphones, without worrying about them, or my reputation. Go ahead and click that order button.",5.0,NO_COMPLAINT,
65,29a28d736a409ac686062bc4e8949d7aa5a1a5ab946ab5f3bd0123f6cf4a18d5,They fell apart within the week.,1.0,BUILD_QUALITY,
66,e47c2b41dbcd18a43df28069a2785131904ef90ea59184dce7b8e26a4a0e9de1,Everything works great on them I got these for my husband. He can wear them outside and not loose the connection.,5.0,NO_COMPLAINT,
67,c7c1d6812e9683064ca88aaf0766d1444c57487f9f4ef2217276bbe5046041ea,Have bought these headphones twice now and never experience any problems. 3 different sound modes are awesome and easily switchable. Noise cancellation works great! Holds a charge for days and very comfortable. Lasted about a year and half before ear pads completely ripped.,4.0,BUILD_QUALITY,
68,6c2cd20d9c476a45eebf495dde200cab77076c0cdce015c710f5040f8c5b4221,No issues at all with this product. Got a great deal.,5.0,NO_COMPLAINT,
69,20ccc46e0bdc773dc00ba762dcc6eefdc86c57c7717e4baca96ec2432f2e51b6,These are the best headphones I've ever had. I just ordered another pair. They work the same as my Samsung pair,5.0,NO_COMPLAINT,
70,af3c4fd47340fd142e6c47c5e7c85c63868c8ef263a4500dd8c56dae0dd7abd6,"The stopped working after a week. Junk. When they worked, they sounded fairly good, but that's of no value if they don't work. I don't know of it's the battery or something else, but they will not charge, and when they do turn on, they shut off after about 30 seconds. Avoid. Buy something decent and do not waste your money on junk.",1.0,FUNCTIONALITY,
71,85e19f4259c28b34eecc74d7e5623dabb13c056b020903da2654c71eacc83962,"Just received these earbuds so can’t give a complete review but I’m pleased with the product, delivery was fast. Only negative: no instructions so needed to “fiddle around” to get things going.",4.0,USABILITY_SETUP,
72,404d82499dd99c32d3f68cb04fe4ccbfd5a15fbd81d087d54c34c99f5c7f31be,I use these headphones easily 10 hours a day since I work from home and like listening to music while I work. They don't hurt my ears at all and the sound quality is incredible. The sound is full and the bass is nice and clear (perfect for hiphop lovers like myself). I have yet to wreck any pairs of these after constant abuse. My only complaint is the padding. I've gone through 4 pairs of these since 2013 because of the pads disintegrating but that's it. I'd recommend these to anyone.,5.0,BUILD_QUALITY,
73,93be92239c32cee3b9ffe9026aa9241faaa084a98c513fc095701894f2e35eeb,"I don't write a lot of reviews but I felt compelled to write one here because I have strong feelings about these headphones. Let me start by saying that I am I generally a fan of Bose. I used the QC 20 earbuds every day for years until they fell apart and I absolutely loved them. Then I switched to the QC 35 which are the best headphones I've ever owned. These headphones sound great, the Bluetooth works very well, and I have no issues with the battery life. As just a pair of earbuds, they are pretty good. However, there are two major drawbacks which make them very disappointing and important enough to say I would not recommend them. First, they are simply not comfortable. The bulkiness and weight of the ear pieces are simply uncomfortable and after dozens of runs and hours of use, I simply don't like wearing them. I always found the ear tips of the QC 20's to be super comfortable - I could wear them for 6-8 hours without even thinking about them. But I really don't like wearing the SoundSports. Second, the volume/mic piece is a massive design flaw. It's so heavy that it constantly pulls the cable to one side. If you were simply sitting at your desk or on a train, this wouldn't be an issue. But for running headphones, this is completely unacceptable. If I am wearing a hat or headband, I will pull the cable through it to try and keep it in place. Otherwise, I'm constantly pulling at it to straighten it out and when you're exercising, the last thing you want to be focusing on is your equipment. I absolutely loved my QC20's and still love my 35's, but these SoundSport headphones are a miss. I'm still high on Bose, but if you're looking for comfortable bluetooth headphones for running, I'd pass on these.",3.0,FIT_COMPATIBILITY,
74,d6ff80bfa8cb74c3ce3468a88830a3dee8b0bf5253d1b62bf9a7406ecbfdab57,It arrived broken,1.0,SHIPPING,
75,22874d7407f6c1fead7fa8e7e80e85ba75dad3e9585e58ae9c23ae823ce3909a,"Super comfortable. I've always had bad luck with earbuds. They are either too big or too small. I have run in these every day since I got them and have had no issues. They sound surprisingly good, too! So happy with this purchase!",5.0,NO_COMPLAINT,
76,5038e499b4f909f92f56c17cb08ec97dcba3fd9d3bc221a8dacad880c5ff03b8,"The sound was awesome - no question about it - but the headphones fell apart after 8 months. The cheap plastic used to connect the ear pieces to the head piece cracked and eventually broke, and now a sharp piece of metal sticks into my head if I ever wear them. I needed to tape them with hockey tape to hold them together.....I expect better for $300! [Look in the product images for pictures of where they broke]",1.0,BUILD_QUALITY,
77,b9f124d89106b3ddf81ff3c6536615c47e30cc1e655e55dc692f0636c6e50fa4,There’s a constant wiring noise in the earbuds and the sound quality sounds like it’s far away,3.0,FUNCTIONALITY,
78,1acad487e74a46801b13fb7b05bafa1edbfe3304ab3c14a79d8641ebc230edaf,"I don't know why it's been said that it beeps when it's charging, but it doesn't. I like it but I do have one issue. It doesn't fit in my ear properly. I may just have a small opening, but it seems rather large. I have to tilt the headset downwards for it to be semi-comfortable. I think it's a great buy for $20 though!!",4.0,FIT_COMPATIBILITY,
79,6e3f9d649ed138087939a3b587965a322f5a505f85777499fa91169b31514250,"I bought these wireless earbuds because I lost one ear bud of another set and needed a replacement. I use them all day listening to podcasts etc and they are super comfy! They charge fast, and they last long! The sound is great and they feel good in my ears. The charging/storage case is sturdy and definitely feels and behaves like the quality ear bud set it is. This is definitely my favorite earbuds set so far.",5.0,NO_COMPLAINT,
80,c567110602551bc11af0f1e505f08fe25f67be46454149a3173d247a71db25fe,"The wire is hard and hard to manage, sound is good for music but can't use for callas other person can't hear me at all. I thought it will be one pair is bad but both were the same. I should know spend little more and get beter quality.",1.0,FUNCTIONALITY,
81,52960935cd2e9555f577d8842ef30d0292fd6e031074b4cea4125723e3a25ac2,"Beautiful, but it stopped working after a fee uses and doesn't have long battery life. Do not waste your time.",2.0,FUNCTIONALITY,
82,b77c2cc65aabe5a0e94930965001b5f7d70788f0ee1449b5b101c0306cda8a60,"These earbuds sound great, it has good passive noise cancellation and the battery life is very good. The case is a bit large, I usually like to put my wireless earbuds on my jeans little pocket but this won't fit because of the size. They are very comfortable and haven't fall from my ears. If you need an extra pair of earbuds and the case size is no issue stop looking and buy these, great price, great sound, good features.",5.0,NO_COMPLAINT,
83,c2eafa3ba3e68de52f137a6d3c83a7872bf71770c45ce17c54eee6a96c6f056e,"Simply did not fit my head and ears comfortably, despite its claims. Your mileage may vary, but I was not impressed. Also, the cord is either too long with the supplied extension, or too small without it.",2.0,FIT_COMPATIBILITY,
84,8fa4f9ff664548404dfc937d2e7a64ea2116d46e90f85f80df113a0beae05cd4,Awesome product,5.0,NO_COMPLAINT,
85,3ff4999fe518fa8eca68dd2f3f7bf01fe853c34231d0c4b0d6673ec656ba8f84,"These sound amazing and give crystal clear wireless performance with an open back design. The plush ear cushions feel very comfortable, even with long listening sessions. The top band also has two cushions that sit the phones comfortably on the vertex of the head--so much that it's hardly noticeable. The speakers do not twirl like a DJ set, which I like because they are easier to set down and handle without things flopping all over the place. The plastic body is hard and higher quality than typical headphones. These things can take a beating and still look like new! The only thing I don't like about these is the design of the power (mostly) and volume controls. To turn them on, after removing from the base, you have to hold down the small power until a green light turns on, there is a slight delay, and the audio plays. It sounds fine, but in practicality there is no tactile feedback in the button or tone to let you know they are on, only a green light. Basically, there is no clear fast reliable way to turn these on without waiting a few seconds watching the light and holding the button, which means many times I've been caught in a cycle of on-off if I put them on first and try to turn on based on feel. I swear sometimes I'll hold it and they won't turn on, I'll hold again and then it will turn off right after turning on. There is also a delay after taking them off the base before they will turn on, making it even more of a hassle if I'm moving fast. It might not sound like much of an issue but I'd much rather have a different design, like a slide switch. I occasionally use the volume buttons when I have to but try not to because they are all so close together with the fase buttons. I'd prefer different shaped buttons or a wheel for better control. My center balance button doesn't seem to work but I don't care about that. The only other thing that is annoying is that the bands leading to the top are a bit loose, so the speakers tend to drop low and long over time. All in all, I love these, there are just a few annoyances that can be fixed for later models. (I use these for computer gaming using optical audio out.)",5.0,FUNCTIONALITY,
